name,Date,Ptot_HA,Ptot_HEI,Ptot_HEI_13RT,Ptot_HEI_5RNS,Ptot_RIZOMM,Quality
Conso_Data,2026-01-01T00:10:00,39556,102430,82147,20282,23581,0
Conso_Data,2026-01-01T00:20:00,40103,109775,88047,21727,20549,0
Conso_Data,2026-01-01T00:30:00,41197,106285,85350,20935,19958,0
Conso_Data,2026-01-01T00:40:00,40914,100778,79089,21688,20132,0
Conso_Data,2026-01-01T00:50:00,39212,100440,78528,21911,20258,0
Conso_Data,2026-01-01T01:00:00,40584,101012,79478,21534,19944,0
Conso_Data,2026-01-01T01:10:00,41971,100102,78820,21282,22778,0
Conso_Data,2026-01-01T01:20:00,41187,99347,79425,19922,19746,0
Conso_Data,2026-01-01T01:30:00,39017,101589,81210,20378,20811,0
Conso_Data,2026-01-01T01:40:00,38710,99552,79568,19984,19776,0
Conso_Data,2026-01-01T01:50:00,40807,98972,81634,17338,20690,0
Conso_Data,2026-01-01T02:00:00,41619,106269,88695,17574,22133,0
Conso_Data,2026-01-01T02:10:00,39975,96757,79136,17620,22168,0
Conso_Data,2026-01-01T02:20:00,39408,97131,78681,18450,19801,0
Conso_Data,2026-01-01T02:30:00,40954,97054,78417,18637,20232,0
Conso_Data,2026-01-01T02:40:00,40450,96725,79368,17357,20026,0
Conso_Data,2026-01-01T02:50:00,42512,100177,80644,19532,20098,0
Conso_Data,2026-01-01T03:00:00,39383,99169,79316,19853,25584,0
Conso_Data,2026-01-01T03:10:00,40797,99154,80684,18469,20532,0
Conso_Data,2026-01-01T03:20:00,41358,105236,86531,18704,25422,0
Conso_Data,2026-01-01T03:30:00,44791,93427,73408,20019,24582,0
Conso_Data,2026-01-01T03:40:00,41879,83082,63318,19764,23439,0
Conso_Data,2026-01-01T03:50:00,42061,84728,65405,19323,23637,0
Conso_Data,2026-01-01T04:00:00,45356,105964,86233,19731,24077,0
Conso_Data,2026-01-01T04:10:00,44715,106484,86220,20263,23633,0
Conso_Data,2026-01-01T04:20:00,45601,106322,86511,19811,23583,0
Conso_Data,2026-01-01T04:30:00,43492,107320,87668,19652,23821,0
Conso_Data,2026-01-01T04:40:00,45277,107816,87068,20748,23162,0
Conso_Data,2026-01-01T04:50:00,45780,115977,90986,24990,24298,0
Conso_Data,2026-01-01T05:00:00,44864,118903,96089,22813,24492,0
Conso_Data,2026-01-01T05:10:00,44743,111074,88436,22638,23282,0
Conso_Data,2026-01-01T05:20:00,45001,107858,86887,20970,23208,0
Conso_Data,2026-01-01T05:30:00,46565,110097,89491,20606,23805,0
Conso_Data,2026-01-01T05:40:00,45375,115724,91023,24701,24626,0
Conso_Data,2026-01-01T05:50:00,44005,123186,90261,32925,24728,0
Conso_Data,2026-01-01T06:00:00,45795,121135,89415,31719,25842,0
Conso_Data,2026-01-01T06:10:00,47044,123725,89072,34653,25921,0
Conso_Data,2026-01-01T06:20:00,46431,122230,89281,32949,26677,0
Conso_Data,2026-01-01T06:30:00,45114,122512,91805,30706,25546,0
Conso_Data,2026-01-01T06:40:00,44785,128700,98051,30648,25784,0
Conso_Data,2026-01-01T06:50:00,46687,121774,91457,30316,26677,0
Conso_Data,2026-01-01T07:00:00,48625,120152,90765,29387,25569,0
Conso_Data,2026-01-01T07:10:00,44988,119467,89102,30364,25643,0
Conso_Data,2026-01-01T07:20:00,44415,120230,89080,31150,26094,0
Conso_Data,2026-01-01T07:30:00,47773,120389,89780,30609,26052,0
Conso_Data,2026-01-01T07:40:00,47496,117635,87976,29658,26309,0
Conso_Data,2026-01-01T07:50:00,46569,123445,89553,33891,25822,0
Conso_Data,2026-01-01T08:00:00,45545,117810,89415,28394,26498,0
Conso_Data,2026-01-01T08:10:00,46630,114791,87962,26829,27102,0
Conso_Data,2026-01-01T08:20:00,46330,126762,99306,27456,25891,0
Conso_Data,2026-01-01T08:30:00,46530,121803,92845,28958,26711,0
Conso_Data,2026-01-01T08:40:00,44076,120472,89629,30842,26081,0
Conso_Data,2026-01-01T08:50:00,44673,117970,89531,28438,25631,0
Conso_Data,2026-01-01T09:00:00,47253,114546,88491,26054,25601,0
Conso_Data,2026-01-01T09:10:00,44663,114565,87943,26622,26241,0
Conso_Data,2026-01-01T09:20:00,44210,113394,86135,27259,25892,0
Conso_Data,2026-01-01T09:30:00,44288,114782,87056,27725,25795,0
Conso_Data,2026-01-01T09:40:00,42479,115246,87183,28063,25624,0
Conso_Data,2026-01-01T09:50:00,42349,123648,94061,29587,25939,0
Conso_Data,2026-01-01T10:00:00,40730,123520,93853,29666,25915,0
Conso_Data,2026-01-01T10:10:00,40641,115097,88195,26901,25159,0
Conso_Data,2026-01-01T10:20:00,43317,113998,88826,25171,25885,0
Conso_Data,2026-01-01T10:30:00,42460,113974,88512,25462,26086,0
Conso_Data,2026-01-01T10:40:00,41642,111255,86701,24554,26102,0
Conso_Data,2026-01-01T10:50:00,41893,113004,86694,26310,25933,0
Conso_Data,2026-01-01T11:00:00,42623,111696,86095,25601,25745,0
Conso_Data,2026-01-01T11:10:00,42873,117780,89765,28014,25425,0
Conso_Data,2026-01-01T11:20:00,41493,121216,93651,27564,25705,0
